City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,hermanus,-34.4187,19.2345,287.18,87,14,4.45,ZA,1699848211
150,erenhot,43.6475,111.9767,270.88,34,97,2.67,CN,1699848211
151,zhuanghe,39.7008,122.9911,276.97,33,0,3.35,CN,1699848211
152,santa marta,11.2408,-74.199,303.65,71,20,2.57,CO,1699847941
153,st. john's,47.5649,-52.7093,271.92,81,100,5.14,CA,1699847598
154,vila velha,-20.3297,-40.2925,299.12,89,0,3.6,BR,1699848212
155,kone,-21.0595,164.8658,299.24,49,53,4.59,NC,1699848212
156,palikir - national government center,6.9248,158.1611,301.62,70,100,5.8,FM,1699847961
157,tema,5.667,-0.0166,300.38,89,0,2.06,GH,1699848214
158,east london,-33.0153,27.9116,287.67,77,0,3.6,ZA,1699848214
159,comodoro rivadavia,-45.8667,-67.5,284.07,40,0,11.83,AR,1699848214
160,ancud,-41.8697,-73.8203,281.93,84,92,5.01,CL,1699848211
161,tofol,5.3248,163.0078,301.03,78,100,5.14,FM,1699847963
162,nar'yan-mar,67.6713,53.087,261.54,94,42,2.24,RU,1699848216
163,linxia chengguanzhen,35.6003,103.2064,278.51,48,0,2.22,CN,1699848216
164,iskateley,67.6803,53.1512,261.49,94,44,2.24,RU,1699848181
165,petropavlovsk-kamchatsky,53.0452,158.6483,272.48,74,40,12.52,RU,1699848216
166,badger,64.8,-147.5333,261.68,89,85,1.56,US,1699848216
167,christchurch,-43.5333,172.6333,298.26,31,61,8.75,NZ,1699848004
168,ribeira grande,38.5167,-28.7,290.25,86,100,3.13,PT,1699848177
169,penzance,50.1186,-5.5371,287.53,92,100,15.82,GB,1699848217
170,acs,47.7123,18.0113,277.05,93,0,0.51,HU,1699848217
171,greymouth,-42.4667,171.2,288.05,85,100,4.67,NZ,1699847941
172,macas,-2.3167,-78.1167,293.04,97,58,1.35,EC,1699848218
173,callao,-12.0667,-77.15,294.1,77,100,6.17,PE,1699848218
174,cabo san lucas,22.8909,-109.9124,300.24,68,63,2.29,MX,1699848022
175,ugoofaaru,5.6667,73.0,301.07,74,84,2.42,MV,1699848219
176,macapa,0.0389,-51.0664,301.14,78,0,6.17,BR,1699848219
177,hithadhoo,-0.6,73.0833,300.51,79,97,4.26,MV,1699848220
178,kerikeri,-35.2268,173.9474,292.45,53,31,3.84,NZ,1699848220
179,chamzinka,54.4019,45.7839,280.28,77,95,10.1,RU,1699848220
180,eersel,51.3575,5.3181,282.6,94,100,2.06,NL,1699848221
181,holualoa,19.6228,-155.9522,296.36,85,27,2.13,US,1699848221
182,sefaatli,39.5043,34.7563,284.6,59,89,1.78,TR,1699848221
183,rongelap,11.1635,166.8941,301.12,84,100,8.88,MH,1699848221
184,constantia,44.1833,28.65,277.53,51,100,1.68,RO,1699848222
185,nouadhibou,20.931,-17.0347,293.14,77,0,5.14,MR,1699848222
186,mount gambier,-37.8333,140.7667,291.33,44,33,4.7,AU,1699848222
187,crane,31.3974,-102.3501,287.15,80,100,3.96,US,1699848222
188,khorixas,-20.3667,14.9667,294.87,19,7,0.32,NA,1699847935
189,hanawa,40.1836,140.7872,274.73,74,99,4.13,JP,1699848223
190,saint-philippe,-21.3585,55.7679,297.1,79,67,2.06,RE,1699848223
191,sitka,57.0531,-135.33,275.8,83,3,2.96,US,1699848088
192,howard springs,-12.497,131.047,305.86,59,47,3.33,AU,1699847872
193,kapit,2.0167,112.9333,304.96,59,96,0.88,MY,1699848224
194,blenheim,-41.516,173.9528,296.22,46,85,1.79,NZ,1699848224
195,anadyr,64.75,177.4833,271.43,86,75,6.0,RU,1699848224
196,lerwick,60.1545,-1.1494,281.05,76,20,9.97,GB,1699848224
197,porto novo,6.4965,2.6036,301.05,90,23,1.59,BJ,1699847922
198,fisterra,42.9049,-9.2629,292.05,94,98,12.77,ES,1699848224
199,cabedelo,-6.9811,-34.8339,297.52,78,27,2.93,BR,1699848225
200,oranjestad,12.524,-70.027,302.12,83,40,8.23,AW,1699848151
201,bonthe,7.5264,-12.505,299.18,85,91,1.17,SL,1699848225
